-- From saballistics 
-- GNU GPLv2
-- https://github.com/topgenorth/saballistics
 
 D (in)    Description                  Weight (grs)   B.C. 
 0.243     Barnes Original RNSP            115        0.322
 0.243     Berger VLD                      115        0.597
 0.257     Hornady FP                       60        0.101
 0.257     Barnes "X" S                     75        0.289
 0.257     Barnes Solid                     75        0.297
 0.257     Hornady HP                       75        0.257
 0.257     Hornady V-MAX                    75        0.290
 0.257     Sierra Hollow Point              75        0.189
 0.257     Speer Flat-Nose SP               75        0.133
 0.257     Barnes "X" S                     85        0.309
 0.257     Nosler Ballistic Tip             85        0.331
 0.257     Hornady SP                       87        0.322
 0.257     Sierra Spitzer                   87        0.293
 0.257     Speer "TNT" HP                   87        0.310
 0.257     Speer Spitzer SP                 87        0.300
 0.257     Barnes "X" BT                    90        0.343
 0.257     Barnes Solid                     90        0.324
 0.257     HT                               90        0.398
 0.257     Sierra HPBT                      90        0.260
 0.257     Barnes "X" BT                   100        0.420
 0.257     Barnes "X" S                    100        0.401
 0.257     HT                              100        0.442
 0.257     Hornady SP                      100        0.357
 0.257     Jensen J26                      100        0.434
 0.257     Nosler Ballistic Tip            100        0.393
 0.257     Nosler Spitzer Partition        100        0.377
 0.257     Sierra Spitzer                  100        0.330
 0.257     Sierra Spitzer Boat Tail        100        0.333
 0.257     Speer Hollow Point              100        0.255
 0.257     Speer Spitzer SP                100        0.369
 0.257     Speer Spitzer SP BT             100        0.393
 0.257     Barnes "X" S                    115        0.429
 0.257     Berger VLD                      115        0.522
 0.257     Nosler Spitzer Partition        115        0.389
 0.257     Hornady BTSP                    117        0.391
 0.257     Hornady RN                      117        0.243
 0.257     Sierra Spitzer                  117        0.388
 0.257     Sierra Spitzer Boat Tail        117        0.410
 0.257     Hornady HP                      120        0.394
 0.257     Jensen J26                      120        0.508
 0.257     Nosler Spitzer Partition        120        0.391
 0.257     Sierra HPBT                     120        0.350
 0.257     Speer Grand Slam SP             120        0.328
 0.257     Speer Spitzer SP                120        0.410
 0.257     Speer Spitzer SP BT             120        0.435
 0.263     Speer Spitzer SP                120        0.433
 0.263     Speer Spitzer SP                140        0.496
 0.264     Norma Round Nose FMJ             80        0.160
 0.264     Sierra Hollow point              85        0.225
 0.264     Barnes "X" S                    100        0.381
 0.264     Barnes Solid                    100        0.395
 0.264     HT                              100        0.417
 0.264     Hornady SP                      100        0.358
 0.264     Lapua FMJ                       100        0.250
 0.264     Norma Hollow Point              100        0.320
 0.264     Nosler Ballistic Tip            100        0.350
 0.264     Sierra Hollow Point             100        0.259
 0.264     Sierra HPBT MatchKing LD        107        0.421
 0.264     Lapua Scenar HP                 108        0.502
