-- From saballistics 
-- GNU GPLv2
-- https://github.com/topgenorth/saballistics
 
 D (in)    Description                  Weight (grs)   B.C. 
 0.358     Hornady SS/PB                   180        0.248
 0.358     Speer Flat-Nose SP              180        0.245
 0.358     HT                              190        0.400
 0.358     Barnes "X" S                    200        0.346
 0.358     Hornady RN                      200        0.195
 0.358     Hornady SP                      200        0.282
 0.358     Sierra Round Nose               200        0.148
 0.358     HT                              215        0.454
 0.358     Speer Flat-Nose SP              220        0.316
 0.358     Barnes "X" S                    225        0.405
 0.358     Bitterroot                      225        0.411
 0.358     Jensen J26                      225        0.524
 0.358     Nosler Spitzer Partition        225        0.430
 0.358     Sierra Spitzer Boat Tail        225        0.384
 0.358     Swift A-Frame                   225        0.350
 0.358     Woodleigh FMJ                   225        0.298
 0.358     Woodleigh SN                    225        0.227
 0.358     HT                              235        0.493
 0.358     Barnes "X" S                    250        0.458
 0.358     Barnes Solid                    250        0.313
 0.358     Bitterroot                      250        0.455
 0.358     Hornady RN                      250        0.271
 0.358     Hornady SP                      250        0.375
 0.358     Jensen J26                      250        0.554
 0.358     Nosler Spitzer Partition        250        0.446
 0.358     Speer Grand Slam SP             250        0.335
 0.358     Speer Spitzer SP                250        0.446
 0.358     Swift A-Frame                   250        0.389
 0.358     Woodleigh SN                    250        0.365
 0.358     Bitterroot                      275        0.490
 0.358     Woodleigh FMJ                   310        0.378
 0.358     Woodleigh SN                    310        0.400
 0.365     Norma Semi-pointed FMJ          232        0.380
 0.365     Norma Vulkan                    232        0.270
 0.365     Norma Alaska                    286        0.360
 0.366     HT                              225        0.479
 0.366     Barnes "X" S                    250        0.428
 0.366     Lapua Forex SP                  270        0.290
 0.366     Speer Spitzer SP                270        0.361
 0.366     Lapua Mega SP                   285        0.338
 0.366     A-Square Dead Tough SP          286        0.305
 0.366     A-Square Lion Load SP           286        0.305
 0.366     A-Square Monolithic Solid       286        0.305
 0.366     Barnes "X" S                    286        0.468
 0.366     Barnes Solid                    286        0.342
 0.366     Woodleigh FMJ                   286        0.324
 0.366     Woodleigh SN                    286        0.331
 0.366     Woodleigh FMJ                   320        0.362
 0.366     Woodleigh SN                    320        0.378
 0.375     Sierra Flat Nose                200        0.195
 0.375     Barnes "X" S                    210        0.341
 0.375     Barnes Original RNSP            220        0.246
 0.375     Hornady FP                      220        0.217
 0.375     Barnes "X" S                    235        0.400
 0.375     Barnes Solid                    235        0.442
 0.375     HT                              235        0.450
 0.375     Speer Semi-Spitzer SP           235        0.317
 0.375     Woodleigh PP                    235        0.331
 0.375     Barnes "X" S                    250        0.450
 0.375     Barnes Solid                    250        0.551
 0.375     Bitterroot                      250        0.352
 0.375     HT                              250        0.479
 0.375     Jensen J26                      250        0.451
 0.375     Sierra Spitzer Boat Tail        250        0.371
 0.375     Swift A-Frame                   250        0.278
 0.375     Barnes Original RNSP            255        0.290
 0.375     Barnes "X" S                    270        0.503
 0.375     Barnes Solid                    270        0.284
 0.375     HT                              270        0.518
 0.375     Hornady RN                      270        0.253
 0.375     Hornady SP                      270        0.380
 0.375     Speer Spitzer SP BT             270        0.429
 0.375     Woodleigh PP                    270        0.352
 0.375     Woodleigh RN                    270        0.305
 0.375     Woodleigh SP                    270        0.380
 0.375     Bitterroot                      275        0.395
 0.375     Speer Grand Slam SP             285        0.354
 0.375     A-Square Dead Tough SP          300        0.288
 0.375     A-Square Lion Load SP           300        0.288
 0.375     A-Square Monolithic Solid       300        0.288
 0.375     Barnes "X" S                    300        0.555
 0.375     Barnes Solid                    300        0.307
 0.375     Bitterroot                      300        0.430
 0.375     Hornady BTSP                    300        0.460
 0.375     Hornady FMJ-RN                  300        0.275
 0.375     Hornady RN                      300        0.250
 0.375     Jensen J26                      300        0.621
 0.375     Nosler Spitzer Partition        300        0.398
 0.375     Sierra Spitzer Boat Tail        300        0.480
 0.375     Speer AGS Tungsten Solid        300        0.258
 0.375     Swift A-Frame                   300        0.361
 0.375     Woodleigh FMJ                   300        0.307
 0.375     Woodleigh PP                    300        0.420
 0.375     Woodleigh RN                    300        0.340
 0.375     Woodleigh SP                    300        0.425
 0.377     Barnes Original RNSP            255        0.290
 0.406     Barnes Original RNSP            250        0.241
 0.411     Barnes "X" S                    300        0.401
 0.411     HT                              320        0.507
 0.411     Barnes "X" S                    325        0.478
 0.411     Barnes "X" S                    350        0.536
 0.411     Barnes Solid                    350        0.374
 0.411     Barnes "X" S                    400        0.562
 0.411     Barnes Solid                    400        0.406
 0.411     Woodleigh FMJ                   400        0.433
 0.411     Woodleigh SN                    400        0.384
 0.416     Barnes "X" S                    300        0.394
 0.416     HT                              320        0.495
 0.416     Barnes "X" S                    325        0.467
 0.416     Bitterroot                      335        0.390
 0.416     Jensen J26                      335        0.475
 0.416     Woodleigh PP                    340        0.425
 0.416     Barnes "X" S                    350        0.521
 0.416     Barnes Solid                    350        0.364
 0.416     Speer Mag-Tip SP                350        0.332
 0.416     Swift A-Frame                   350        0.318
 0.416     A-Square Dead Tough SP          400        0.326
 0.416     A-Square Lion Load SP           400        0.326
 0.416     A-Square Monolithic Solid       400        0.326
 0.416     Barnes "X" S                    400        0.546
 0.416     Barnes Solid                    400        0.388
 0.416     Hornady FMJ                     400        0.319
 0.416     Hornady RN                      400        0.311
 0.416     Speer AGS Soft Point            400        0.318
 0.416     Speer AGS Tungsten Point        400        0.262
 0.416     Swift A-Frame                   400        0.391
 0.416     Woodleigh FMJ                   410        0.341
 0.416     Woodleigh SN                    410        0.375
 0.423     Bitterroot                      335        0.385
 0.423     Woodleigh FMJ                   347        0.307
 0.423     Woodleigh SN                    347        0.355
 0.423     Barnes "X" S                    350        0.481
 0.423     Barnes Solid                    350        0.347
 0.423     Woodleigh SN                    350        0.357
 0.423     Barnes "X" S                    400        0.537
 0.423     Barnes Solid                    400        0.361
 0.423     Woodleigh FMJ                   400        0.358
 0.423     Woodleigh SN                    400        0.354
 0.430     Barnes Original JHP             250        0.214
 0.430     Hornady FP                      265        0.189
 0.430     Barnes Original JHP             275        0.239
 0.430     Barnes Original JHP             300        0.258
 0.435     Barnes Original RNSP            410        0.344
 0.435     Barnes Solid                    410        0.390
 0.435     Woodleigh FMJ                   410        0.336
 0.435     Woodleigh SN                    410        0.344
 0.440     Woodleigh SN                    410        0.411
 0.458     Barnes "X" S                    300        0.340
 0.458     Barnes Original FNSP            300        0.227
 0.458     Barnes Original SSP             300        0.291
 0.458     Hornady HP                      300        0.197
 0.458     Sierra Flat Nose HP             300        0.185
 0.458     Barnes "X" S                    350        0.402
 0.458     Hornady RN                      350        0.189
 0.458     Speer Flat-Nose SP              350        0.232
 0.458     Woodleigh RN                    350        0.305
 0.458     Barnes "X" S                    400        0.457
 0.458     Barnes Original FNSP            400        0.302
 0.458     Barnes Original SSP             400        0.389
 0.458     Barnes Solid                    400        0.321
 0.458     Jensen J26                      400        0.463
 0.458     Speer Flat-Nose SP              400        0.214
 0.458     Swift A-Frame                   400        0.271
 0.458     Woodleigh PP                    400        0.420
 0.458     Barnes "X" S                    450        0.488
 0.458     Barnes Solid                    450        0.362
 0.458     A-Square Dead Tough SP          465        0.364
 0.458     A-Square Lion Load SP           465        0.364
 0.458     Woodleigh FMJ                   480        0.410
 0.458     Woodleigh SN                    480        0.419
 0.458     A-Squaer Lion Load SP           500        0.374
 0.458     A-Square Dead Tough SP          500        0.374
 0.458     A-Square Monolithic Solid       500        0.374
 0.458     Barnes "X" S                    500        0.526
 0.458     Barnes Solid                    500        0.394
 0.458     Hornady FMJ-RN                  500        0.295
 0.458     Hornady RN                      500        0.287
 0.458     Speer AGS Soft Point            500        0.285
 0.458     Speer AGS Tungsten Solid        500        0.277
 0.458     Swift A-Frame                   500        0.354
 0.458     Woodleigh FMJ                   500        0.405
 0.458     Woodleigh SN                    500        0.430
 0.458     Woodleigh FMJ                   550        0.426
 0.458     Woodleigh SN                    550        0.480
 0.458     Barnes Original RNSP            600        0.454
 0.468     Barnes Original RNSP            480        0.362
 0.468     Barnes Solid                    480        0.391
 0.468     Woodleigh FMJ                   480        0.407
 0.468     Woodleigh SN                    480        0.410
 0.470     Barnes Solid                    500        0.365
 0.474     Woodleigh FMJ                   500        0.410
 0.474     Woodleigh SN                    500        0.411
 0.475     HT                              410        0.511
 0.475     Barnes Original RNSP            500        0.352
 0.475     Barnes Original RNSP            600        0.422
 0.476     Woodleigh FMJ                   520        0.455
 0.476     Woodleigh SN                    520        0.420
 0.483     Woodleigh FMJ                   480        0.410
 0.483     Woodleigh SN                    480        0.400
 0.483     Barnes Solid                    500        0.386
 0.488     Barnes Original RNSP            500        0.333
 0.488     Barnes Solid                    500        0.378
 0.488     Woodleigh FMJ                   500        0.416
 0.488     Woodleigh SN                    500        0.420
 0.505     HT                              480        0.500
 0.505     Barnes Solid                    525        0.344
 0.505     Woodleigh FMJ                   525        0.408
 0.505     Woodleigh SN                    525        0.455
 0.505     Barnes Solid                    600        0.395
 0.510     Barnes Original FNSP            300        0.183
 0.510     Woodleigh SN                    440        0.336
 0.510     Barnes Original FNSP            450        0.274
 0.510     HT                              495        0.482
 0.510     Barnes Solid                    525        0.342
 0.510     Woodleigh FMJ                   535        0.422
 0.510     Woodleigh SN                    535        0.460
 0.510     Woodleigh FMJ                   570        0.434
 0.510     Woodleigh SN                    570        0.474
 0.510     Barnes Original RNSP            600        0.365
 0.510     Barnes Solid                    600        0.391
 0.510     Speer .50 BMG FMJ BT            647        0.701
 0.510     Barnes Original RNSP            700        0.436
 0.510     Barnes Solid                    750        1.070
 0.510     Hornady A/MAX                   750        1.050
 0.510     Barnes Solid                    800        1.095
 0.585     Barnes Solid                    650        0.296
 0.585     Woodleigh SN                    650        0.320
 0.585     Barnes Original RNSP            750        0.346
 0.585     Barnes Solid                    750        0.351
 0.585     Woodleigh FMJ                   750        0.351
 0.585     Woodleigh SN                    750        0.346
 0.600     Woodleigh FMJ                  1000        0.340
 0.620     Barnes Original RNSP            900        0.371
 0.620     Barnes Solid                    900        0.380
 0.620     Woodleigh FMJ                   900        0.334
 0.620     Woodleigh SN                    900        0.371
 0.700     Woodleigh SN                   1000        0.340
